X,Y,Z,w,p,r
-0.04833,-0.23993,0.3598,1.16968,2.9,-0.107
-0.44061,-0.1536,0.22166,1.14175,3.029,0.013
-0.50093,-0.16878,0.04021,1.185,2.917,0.087
-0.45639,-0.16748,0.16344,1.212,2.92,0.007
-0.15696,-0.27822,0.26095,0.99379,3.082,-0.048
0.02844,-0.39761,0.20347,0.562,3.021,-0.084
-0.00672,-0.44786,0.04548,1.088,2.917,-0.001
0.04738,-0.34733,0.34998,0.693,3.001,-0.322
-0.05006,-0.23304,0.36012,1.05939,2.9,-0.107
-0.44061,-0.1536,0.21855,1.22437,3.029,0.013
-0.50093,-0.16878,0.04021,1.185,2.917,0.087
-0.45639,-0.16748,0.16431,1.212,2.92,0.007
-0.16528,-0.27765,0.25707,0.97939,3.082,-0.048
0.02844,-0.39761,0.20075,0.562,3.021,-0.084
-0.00672,-0.44786,0.04548,1.088,2.917,-0.001
0.04738,-0.34733,0.35633,0.693,3.001,-0.322
-0.05214,-0.23526,0.35882,1.12506,2.9,-0.107
-0.44061,-0.1536,0.22384,1.19816,3.029,0.013
-0.50093,-0.16878,0.04021,1.185,2.917,0.087
-0.45639,-0.16748,0.16738,1.212,2.92,0.007
-0.1594,-0.27654,0.25565,0.87117,3.082,-0.048
0.02844,-0.39761,0.20368,0.562,3.021,-0.084
-0.00672,-0.44786,0.04548,1.088,2.917,-0.001
0.04738,-0.34733,0.35169,0.693,3.001,-0.322
-0.05079,-0.23594,0.36403,1.15494,2.9,-0.107
-0.44061,-0.1536,0.2174,1.15995,3.029,0.013
-0.50093,-0.16878,0.04021,1.185,2.917,0.087
-0.45639,-0.16748,0.1598,1.212,2.92,0.007
-0.15989,-0.28103,0.25615,0.97787,3.082,-0.048
0.02844,-0.39761,0.20023,0.562,3.021,-0.084
-0.00672,-0.44786,0.04548,1.088,2.917,-0.001
0.04738,-0.34733,0.34936,0.693,3.001,-0.322
